Sno,Candidate,Constituency,Party,Result,Criminal Cases,Cases details(convicted),Cases details(accused),Serious IPC Detail,Other IPC Detail,Education,Movable Assets,Immovable Assets,Total Assets,Liabilities,PAN Given (Y or N)  
1,MALIKAYYA V. GUTTEDAR,Afzalpur,INC,W,0,No Cases ,No Cases,,,12th,5396000,15850000,21246000,1160000,Y 
2,TUKARAMGOUD  SAHEBGOUD PATIL,Afzalpur,JD(S),L,0,No Cases ,No Cases,,,10th,261000,3950000,4211000,150000,N 
3,M.Y. PATIL,Afzalpur,BJP,L,0,No Cases ,No Cases,,,not_given,1070255,7800000,8870255,678857,N 
4,MAHADEV SIDDARAM,Afzalpur,IND,L,0,No Cases ,No Cases,,,literate,21000,0,21000,45000,N 
5,RAVI M. SHETTY (MOTAGI),Afzalpur,BSP,L,0,No Cases ,No Cases,,,graduate,437000,1600000,2037000,100000,N 
6,CHANDRASHEKHAR  BASSAPPA JABA,Afzalpur,RAHS,L,0,No Cases ,No Cases,,,10th,42000,0,42000,0,N 
7,MOULA MULLA,Aland,CPI,L,0,No Cases ,No Cases,,,not_given,0,0,0,0,N 
8,MALLIKARJUN DHOLE,Aland,RAHS,L,0,No Cases ,No Cases,,,12th,35000,0,35000,25000,Y 
9,BABURAO HANAMANTH,Aland,IND,L,0,No Cases ,No Cases,,,10th,173000,350000,523000,25000,N 
10,YESHWANT .S. HATTARKI,Aland,JD(U),L,0,No Cases ,No Cases,,,not_given,0,0,0,0,N 
11,DR. B.G. JAWALI,Aland,BJP,L,1,No Cases ,"(1):IPC Sections -  120B, 201, 406, 423, 424, 467, 468, 471, 34 , Other Details -  
",,"1 charges related to Dishonest or fraudulent execution of deed of transfer containing false statement of consideration (IPC Section-423) 
1 charges related to Dishonest or fraudulent removal or concealment of property (IPC Section-424) 
1 charges related to Forgery of valuable security, will, etc. (IPC Section-467) 
1 charges related to Forgery for purpose of cheating (IPC Section-468) 
1 charges related to Using as genuine a forged document or electronic record (IPC Section-471) 
1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 
1 charges related to Punishment of criminal conspiracy (IPC Section-120B) 
1 charges related to Causing disappearance of evidence of offence, or giving false information to screen offender (IPC Section-201) 
1 charges related to  criminal breach of trust (IPC Section-406) 
",post_graduate,88712771,45075000,133787771,400000,Y 
12,SHANKARRAO R. PATIL,Aland,IND,L,0,No Cases ,No Cases,,,10th,168000,370000,538000,0,N 
13,MAYADEVI GOUTAM KOKATE,Aland,IND,L,0,No Cases ,No Cases,,,literate,75000,20000,95000,0,N 
14,KUPENDRA SHIVARAYA DHULE,Aland,SP,L,0,No Cases ,No Cases,,,graduate,140000,1020000,1160000,61150,N 
15,GUTTEDAR SUBASH RUKMAYYA,Aland,JD(S),W,0,No Cases ,No Cases,,,10th,2170151,14512200,16682351,250000,Y 
16,SHIVALINGAPPA .E. ASHTAGI,Aland,IND,L,0,No Cases ,No Cases,,,post_graduate,254982,350000,604982,0,N 
17,SHANTALA SWAMIRAO CHANAGUND,Aland,IND,L,0,No Cases ,No Cases,,,graduate_professional,0,0,0,0,N 
18,HANAMANTH G. YELSANGI,Aland,LJP,L,0,No Cases ,No Cases,,,post_graduate,30000,300000,330000,75000,N 
19,APPARAO M. PATIL,Aland,IND,L,0,No Cases ,No Cases,,,10th,50000,50000,100000,100909,N 
20,VEERANNA. S. MANGANI,Aland,BSP,L,0,No Cases ,No Cases,,,10th,251680,4700000,4951680,313200,N 
21,GOPINATHA G M,Anekal,IND,L,0,No Cases ,No Cases,,,graduate_professional,0,0,0,0,N 
22,A NARAYANASWAMY,Anekal,BJP,W,0,No Cases ,No Cases,,,not_given,100000,31000000,31100000,0,N 
23,C THOPAIAH,Anekal,JD(U),L,0,No Cases ,No Cases,,,graduate,10000,0,10000,0,N 
24,B GOPAL,Anekal,INC,L,0,No Cases ,No Cases,,,12th,423255,20000000,20423255,1250000,N 
25,R VENKATASWAMY,Anekal,LJP,L,0,No Cases ,No Cases,,,not_given,57000,300000,357000,0,N 
26,JIGANI SHANKAR,Anekal,BSP,L,0,No Cases ,No Cases,,,graduate,70000,36000000,36070000,1968238,Y 
27,GOUDAR  SHIVANGOUDA NINGAPPA,Arabhavi,SKP,L,0,No Cases ,No Cases,,,literate,40000,250000,290000,0,N 
28,KOUJALAGI VEERANNA SHIVALINGAPPA,Arabhavi,INC,L,0,No Cases ,No Cases,,,graduate,19878304,52595000,72473304,2670652,Y 
29,UNDRI GOPAL BHARAMAPPA,Arabhavi,SP,L,0,No Cases ,No Cases,,,graduate_professional,190000,0,190000,0,N 
30,ASHOK PANDAPPA HANAJI,Arabhavi,IND,L,0,No Cases ,No Cases,,,12th,151000,300000,451000,0,N 
